,년도,이름,팀,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,연봉
1278,2020,김재윤,기아 타이거즈,2.22,56,0,0,0,5,3,21,1,60.2,23,22,256,62,4,2,7,15,3,0,58,0,0,0
1279,2020,윤대경,한화 이글스,2.2,55,0,0,0,5,0,0,7,51.0,16,9,225,48,7,0,3,25,3,3,42,0,1,0
1280,2020,박세웅,롯데 자이언츠,2.02,28,0,0,28,8,10,0,0,147.1,85,77,658,177,27,2,20,47,0,8,108,0,13,0
1281,2020,이영하,두산 베어스,2.02,42,0,0,19,5,11,6,0,132.0,78,68,605,148,26,1,9,66,3,5,85,1,4,27000
1282,2020,라이트,NC 다이노스,2.01,29,0,0,29,11,9,0,0,157.2,87,82,696,164,27,2,12,63,0,10,125,2,5,0
1283,2020,강재민,한화 이글스,1.99,50,0,0,0,1,2,1,14,49.0,16,14,203,41,5,0,3,18,1,0,57,1,2,0
1284,2020,구승민,롯데 자이언츠,1.94,57,0,0,0,5,2,0,20,60.1,25,24,238,40,9,0,8,26,2,0,58,0,1,0
1285,2020,박종훈,SK 와이번즈,1.9,29,0,0,28,13,11,0,0,157.1,90,84,691,146,21,3,14,78,1,22,134,0,5,29000
1286,2020,조현우,기아 타이거즈,1.79,54,0,0,0,5,1,1,9,46.2,16,16,196,38,8,1,1,22,1,1,33,0,3,0
1287,2020,이민호,LG 트윈스,1.79,20,0,0,16,4,4,0,0,97.2,46,40,434,94,19,0,5,44,1,10,67,1,4,0
1288,2020,양현,키움 히어로즈,1.77,58,0,0,1,8,3,2,11,60.0,23,22,245,58,9,1,4,17,0,3,33,0,1,0
1289,2020,노경은,롯데 자이언츠,1.7,25,1,0,24,5,10,0,0,133.0,76,72,574,139,31,1,19,40,2,3,77,0,3,0
1290,2020,전상현,기아 타이거즈,1.61,47,0,0,0,2,2,15,13,47.2,21,13,198,35,6,1,4,22,0,0,64,0,2,0
1291,2020,김원중,롯데 자이언츠,1.61,58,0,0,0,5,4,25,0,59.1,29,26,249,52,14,1,8,23,5,0,57,0,1,0
1292,2020,이승현,삼성 라이온즈,1.61,65,0,0,0,1,2,0,14,54.1,22,21,226,45,7,1,11,25,1,0,52,0,2,0
1293,2020,임찬규,LG 트윈스,1.51,27,0,0,26,10,9,0,0,147.2,76,67,641,143,29,2,14,65,0,5,138,0,4,0
1294,2020,원태인,삼성 라이온즈,1.51,27,0,0,26,6,10,0,0,140.0,84,76,626,162,32,1,19,56,2,5,78,0,6,0
1295,2020,정찬헌,LG 트윈스,1.5,19,1,1,19,7,4,0,0,110.1,51,43,470,116,22,1,10,31,0,4,85,0,5,0
1296,2020,이보근,기아 타이거즈,1.48,49,0,0,0,3,1,6,9,46.2,17,13,192,42,5,0,2,12,1,2,27,0,3,0
1297,2020,정해영,기아 타이거즈,1.47,47,0,0,0,5,3,1,11,37.2,15,14,169,40,5,1,2,24,2,2,32,0,7,0
1298,2020,박치국,두산 베어스,1.46,63,0,0,0,4,4,0,6,71.2,34,23,317,65,12,2,5,34,4,5,66,0,1,0
1299,2020,김진성,NC 다이노스,1.46,48,0,0,0,3,0,0,6,47.1,16,14,190,41,8,2,4,10,1,0,56,0,2,0
1300,2020,장시환,한화 이글스,1.4,26,0,0,26,4,14,0,0,132.2,81,74,603,139,27,1,15,74,0,8,115,0,10,0
1301,2020,홍성민,NC 다이노스,1.39,30,0,0,0,1,0,0,8,26.0,4,3,104,20,4,0,2,6,1,2,14,0,2,0
1302,2020,안우진,키움 히어로즈,1.38,42,0,0,0,2,3,2,13,36.0,12,12,143,20,2,0,3,17,1,0,41,0,2,0
1303,2020,임기영,기아 타이거즈,1.34,25,0,0,25,9,10,0,0,127.2,80,73,559,152,26,3,12,33,0,9,106,1,3,0
1304,2020,함덕주,두산 베어스,1.34,36,0,0,6,5,1,10,2,55.1,25,24,240,55,7,0,2,21,2,0,55,0,7,0
1305,2020,김진영,한화 이글스,1.33,58,0,0,0,3,3,0,8,54.0,26,20,231,48,4,0,6,22,0,3,56,0,5,0
1306,2020,서폴드,한화 이글스,1.3,28,1,1,28,10,13,0,0,165.0,107,90,734,203,30,3,19,42,0,13,97,0,10,70000
1307,2020,최동환,LG 트윈스,1.28,54,0,0,0,4,1,0,4,57.0,23,22,228,54,10,1,6,12,0,2,42,0,3,0
1308,2020,정우람,한화 이글스,1.23,50,0,0,0,3,5,16,0,54.1,29,29,230,58,11,1,4,12,1,5,53,0,2,80000
1309,2020,유원상,기아 타이거즈,1.16,62,0,0,0,2,1,2,9,64.0,32,27,271,52,12,0,8,28,1,1,37,0,5,0
1310,2020,김대우,롯데 자이언츠,1.15,46,0,0,1,0,1,0,0,49.1,22,17,216,48,11,0,1,26,1,2,43,1,5,0
1311,2020,이승호,키움 히어로즈,1.14,24,0,0,23,6,6,0,0,118.2,71,67,517,132,20,1,15,40,0,5,73,1,3,0
1312,2020,윌슨,LG 트윈스,1.1,25,0,0,25,10,8,0,0,144.2,81,71,628,161,23,2,13,39,0,8,109,1,3,90000
1313,2020,원종현,NC 다이노스,1.09,58,0,0,0,3,5,30,0,57.0,30,27,245,56,5,1,4,20,1,2,41,0,4,26000
1314,2020,서진용,SK 와이번즈,1.09,63,0,0,0,2,7,8,12,61.0,33,28,264,52,4,1,11,34,1,1,56,0,7,0
1315,2020,한현희,키움 히어로즈,1.09,25,0,0,25,7,9,0,0,135.2,77,75,587,141,20,1,10,37,2,14,109,2,3,29000
1316,2020,임현준,삼성 라이온즈,1.05,51,0,0,0,1,1,0,5,25.1,7,5,109,24,3,0,2,7,1,6,18,0,1,0
1317,2020,오현택,롯데 자이언츠,1.04,48,0,0,0,3,1,0,7,36.0,15,15,152,37,6,1,5,8,1,2,17,0,1,0
1318,2020,이건욱,SK 와이번즈,1.03,27,0,0,25,6,12,0,0,122.0,77,77,542,105,16,4,11,81,0,6,91,1,6,0
