매장이름,lat,lng,주소,구
텐즈힐점,37.5680704,127.0259032,"서울 성동구 무학로 33 (하왕십리동, 텐즈힐)",성동구
한양대점,37.5599816,127.0415033,서울 성동구 사근동길 4 (행당동),성동구
행당동점,37.5580159,127.0337407,서울 성동구 고산자로 201 (행당동),성동구
IBK고객센터점,37.53494410336005,127.00692431290224,"서울 용산구 한남대로 72 (한남동, IBK기업은행고객센터)",용산구
동부이촌동점,37.5174531,126.9665337,서울 용산구 이촌로77길 19 (이촌동),용산구
동자동점,37.5520713,126.9724315,서울 용산구 후암로 93 (동자동),용산구
삼각지점,37.53144899999999,126.9703879,서울 용산구 한강대로 138 (한강로2가),용산구
숙대입구역점,37.5440208,126.9719508,서울 용산구 한강대로 289 (갈월동),용산구
순천향병원점,37.5330587,127.0059327,서울 용산구 대사관로 72 ,용산구
용문점,37.53584882357322,126.9611373908156,서울 용산구 원효로41길 73 (원효로2가),용산구
용산원효점,37.5325054872953,126.951642152118,"서울 용산구 원효로 70 (원효로4가, 신정빌딩)",용산구
용산중앙점,37.5254333,126.9646879,서울 용산구 한강대로 52-1 (한강로3가),용산구
용산청파점,37.5494639189725,126.969413497587,"서울 용산구 청파로71길 10 (청파동1가, 새마을금고)",용산구
용산효창점,37.540537976136086,126.96220762686157,서울 용산구 효창원로66길 2 (효창동),용산구
용산후암점,37.5495283931423,126.977694955629,"서울 용산구 후암로 40-2 (후암동, 성원빌딩)",용산구
원효로점,37.5405279,126.9691008,서울 용산구 원효로 257 (원효로1가),용산구
이태원역점,37.5342678321451,126.993425922089,서울 용산구 이태원로 176 (이태원동),용산구
금란망우점,37.6000681,127.1031213,서울 중랑구 망우로 460 (망우동),중랑구
동원사거리점,37.5896269575279,127.094182772191,"서울 중랑구 겸재로 240 (면목동, 행복오피스텔)",중랑구
망우동점,37.5991279,127.0983355,서울 중랑구 망우로 416 (망우동),중랑구
망우중앙점,37.5974674047065,127.09415879594557,"서울 중랑구 용마산로115길 109 (망우동, 한일써너스빌리젠시2단지)",중랑구
망우코레일점,37.5992876153903,127.092756577852,"서울 중랑구 망우로55길 11-10 (상봉동, 망우역)",중랑구
먹골역점,37.6097411262067,127.076897926489,서울 중랑구 동일로157길 13 (묵동),중랑구
면목경남아너스빌점,37.574252177368244,127.08048931056359,서울 중랑구 면목로27길 92 (면목동),중랑구
