,주유소명,주소,브랜드,휘발유 가격,경유 가격,셀프 여부,세차장 여부,충전소 여부,경정비 여부,편의점 여부,24시간 운영 여부,구,위도,경도
277,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),GS칼텍스,1575,1399,Y,Y,N,N,N,N,양천구,37.510561,126.8476971
278,개나리Self주유소,서울 양천구 남부순환로 442 (신월동),SK에너지,1578,1389,Y,Y,N,Y,N,N,양천구,37.5282825,126.8329476
279,양천구주유소,서울 양천구 국회대로 275 (목동),알뜰주유소,1578,1389,Y,Y,N,Y,N,Y,양천구,37.5303149,126.8655168
280,가로공원주유소,서울 양천구 가로공원로 165 (신월동),SK에너지,1578,1389,N,Y,N,N,N,Y,양천구,37.5370157,126.8342852
281,(주)삼표에너지 목동주유소,서울 양천구 목동서로 129 (목동),GS칼텍스,1579,1407,Y,Y,N,N,N,N,양천구,37.5321651,126.8755188
282,형산석유(주)원주유소,서울 양천구 남부순환로 408,HD현대오일뱅크,1579,1389,N,Y,N,Y,N,N,양천구,37.53113889999999,126.8309818
283,현대오일뱅크(주)직영 양천현대셀프주유소,서울 양천구 안양천로 1179 (목동),HD현대오일뱅크,1579,1427,Y,Y,Y,Y,Y,Y,양천구,37.5459778,126.8813541
284,목동주유소,서울 양천구 목동중앙로 125 (목동),SK에너지,1598,1417,Y,Y,N,N,N,N,양천구,37.5396159,126.8745755
285,SK에너지(주) 경인주유소,서울 양천구 국회대로 170 (신정동),SK에너지,1622,1474,Y,Y,N,N,N,N,양천구,37.5281554,126.8538235
286,SK에너지(주) 신평,서울 양천구 목동남로 62,SK에너지,1622,1472,N,Y,N,Y,N,N,양천구,37.5093842,126.866217
287,신정동주유소,서울 양천구 안양천로 663 (신정동),HD현대오일뱅크,1627,1437,Y,Y,N,N,Y,N,양천구,37.5065537,126.8711542
288,현대오일뱅크(주)직영 양천셀프주유소,서울 양천구 목동로 17,HD현대오일뱅크,1637,1467,Y,Y,N,N,N,N,양천구,37.5106675,126.8710352
289,(주)서부트럭터미날,서울 양천구 신정로 167 (신정동),HD현대오일뱅크,1639,1449,N,Y,N,N,N,Y,양천구,37.5094872,126.8392408
290,삼미상사(주)신월IC셀프주유소,서울 양천구 중앙로 331 (신월동),SK에너지,1644,1474,Y,N,N,Y,N,N,양천구,37.5255016,126.8497956
291,현대오일뱅크(주)직영 남부순환셀프주유소,서울 양천구 남부순환로 553 (신월동),HD현대오일뱅크,1647,1448,Y,Y,N,N,Y,Y,양천구,37.5194921,126.8388027
292,현대오일뱅크(주)직영 신목동셀프주유소,서울 양천구 목동동로10길 13,HD현대오일뱅크,1648,1549,Y,Y,N,Y,N,N,양천구,37.5195788,126.8710739
293,신양주유소,서울 양천구 지양로 67,SK에너지,1729,1564,N,Y,N,N,N,N,양천구,37.5215246,126.8338425
294,도림주유소,서울 영등포구 도림로 343 (도림동),알뜰주유소,1559,1369,Y,N,N,Y,N,N,영등포구,37.5077607,126.9002361
295,지에스칼텍스㈜ 신길주유소,서울 영등포구 신길로 74 (신길동),GS칼텍스,1565,1380,Y,Y,N,N,N,Y,영등포구,37.4990517,126.9087328
296,성락주유소,서울 영등포구 가마산로 414 (신길동),S-OIL,1569,1389,Y,Y,N,N,N,N,영등포구,37.503825,126.902869
297,영등포제일셀프주유소,서울 영등포구 가마산로 379,HD현대오일뱅크,1569,1389,Y,Y,N,Y,N,N,영등포구,37.5023476,126.8995031
298,(주)대청에너지 대청주유소,서울 영등포구 가마산로 328 (대림동),GS칼텍스,1569,1389,Y,Y,N,Y,N,Y,영등포구,37.4985472,126.895759
299,(주)지에스이앤알 보라주유소,서울 영등포구 영등포로 399 (신길동),GS칼텍스,1585,1405,N,Y,N,N,N,N,영등포구,37.5135359,126.9227357
300,㈜지에스이앤알 모드니주유소,서울 영등포구 경인로 789,GS칼텍스,1585,1405,N,Y,N,N,N,N,영등포구,37.5146455,126.9007596
301,(주)강서오일,서울 영등포구 도신로 151,HD현대오일뱅크,1589,1399,N,N,N,N,N,Y,영등포구,37.5100219,126.908238
